signal_datetime,entry_datetime,exit_datetime,long_symbols,short_symbols,long_return,short_asset_return,gross_return,net_return,equity,drawdown
2025-08-26 00:00:00+00:00,2025-08-27 00:00:00+00:00,2025-09-02 00:00:00+00:00,"XLP,XLK","XLF,XLI",-0.00742328032523798,-0.007258270304824177,-8.250501020690137e-05,-8.250501020690137e-05,1.0462567234701887,-8.250501020690137e-05
2025-08-29 00:00:00+00:00,2025-09-02 00:00:00+00:00,2025-09-05 00:00:00+00:00,"XLK,XLE","XLRE,XLF",0.004213068171391721,0.00441366401909693,-0.00010029792385260472,-0.00010029792385260472,1.0461517860930079,-0.00018279465897819147
2025-09-04 00:00:00+00:00,2025-09-05 00:00:00+00:00,2025-09-10 00:00:00+00:00,"XLE,XLK","XLF,XLI",0.007297268325457462,-0.012804737778891406,0.010051003052174434,0.010051003052174434,1.0566666608880664,0.0
2025-09-09 00:00:00+00:00,2025-09-10 00:00:00+00:00,2025-09-15 00:00:00+00:00,"XLE,XLRE","XLV,XLC",0.0117264412151179,0.01033113886234066,0.0006976511763886195,0.0006976511763886195,1.0574038456270856,0.0
2025-09-12 00:00:00+00:00,2025-09-15 00:00:00+00:00,2025-09-18 00:00:00+00:00,"XLE,XLP","XLU,XLC",0.0037103810705651497,-0.003036202345473138,0.003373291708019144,0.003373291708019144,1.0609707772515669,0.0
2025-09-17 00:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-23 00:00:00+00:00,"XLE,XLB","XLU,XLC",-0.004893054893195414,0.00980432256793684,-0.0073486887305661275,-0.0073486887305661275,1.0531740332573183,-0.007348688730566155
2025-09-22 00:00:00+00:00,2025-09-23 00:00:00+00:00,2025-09-26 00:00:00+00:00,"XLE,XLC","XLV,XLRE",0.012068744116868979,-0.00503249605754974,0.00855062008720936,0.00855062008720936,1.0621793243014157,0.0
2025-09-25 00:00:00+00:00,2025-09-26 00:00:00+00:00,2025-10-01 00:00:00+00:00,"XLE,XLB","XLF,XLRE",-0.004794955326830441,0.005077277621554466,-0.0049361164741924535,-0.0049361164741924535,1.056936283440185,-0.0049361164741923425
2025-09-30 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-10-06 00:00:00+00:00,"XLE,XLU","XLRE,XLI",0.014936313769021381,0.0044804258918383355,0.005227943938591523,0.005227943938591523,1.0624618870766736,0.0
2025-10-03 00:00:00+00:00,2025-10-06 00:00:00+00:00,2025-10-09 00:00:00+00:00,"XLE,XLV","XLF,XLRE",-0.002146555750483614,-0.010858347181340933,0.004355895715428659,0.004355895715428659,1.067089860258397,0.0
2025-10-08 00:00:00+00:00,2025-10-09 00:00:00+00:00,2025-10-14 00:00:00+00:00,"XLE,XLK","XLI,XLU",-0.038198727272608646,-0.020232994164268436,-0.008982866554170105,-0.008982866554170105,1.0575043344423878,-0.008982866554170021
2025-10-13 00:00:00+00:00,2025-10-14 00:00:00+00:00,2025-10-17 00:00:00+00:00,"XLE,XLK","XLU,XLI",0.0053467420212692796,0.011860321825983955,-0.0032567899023573377,-0.0032567899023573377,1.0540602650042767,-0.012210401147439542
2025-10-16 00:00:00+00:00,2025-10-17 00:00:00+00:00,2025-10-22 00:00:00+00:00,"XLK,XLE","XLP,XLRE",0.019045637522246528,0.011065194399659695,0.003990221561293417,0.003990221561293417,1.0582661990005995,-0.008268901792076622
2025-10-21 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-10-27 00:00:00+00:00,"XLK,XLE","XLC,XLI",0.022651459515368177,0.0039458882138339035,0.009352785650767137,0.009352785650767137,1.0681639359213042,0.0
2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,2025-10-30 00:00:00+00:00,"XLK,XLV","XLC,XLRE",0.000603807455513472,-0.029757506896624153,0.015180657176068812,0.015180657176068812,1.084379366440366,0.0
2025-10-29 00:00:00+00:00,2025-10-30 00:00:00+00:00,2025-11-04 00:00:00+00:00,"XLK,XLY","XLI,XLU",-0.002129931111861938,-0.010543560546045438,0.00420681471709175,0.00420681471709175,1.088941149518018,0.0
